0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,label
17.986267,-0.9571533,-16.565573,4.281473,7.2864256,-3.0696816,-4.7129536,-2.1506705,-0.8552755,0.07635093,-0.5379038,-0.10035038,1.1153256,-0.08387005,-1.5939782,-1.8053246,0.9423579,1.579995,0.04608065,-0.21401358,0.5977955,0.39823198,-0.59054476,-0.32559037,-0.8660718,-0.9312849,-0.19161594,0.33660048,-0.647436,-0.9157028,0.7684915,0.6816416,-0.277804,-0.38015664,0.2258234,0.40251952,0.042644203,0.4163649,-0.10794926,-0.67350185,0.45285583,0.80781937,0.23001093,-0.11351228,-0.4168679,-0.095885634,0.3006416,0.31692436,-0.109071255,-0.06334674,-0.38469672,-0.28136516,0.75580084,0.004662469,-0.24335146,0.3547238,0.049731493,0.16263467,0.37219495,-0.1422156,-0.28322208,-0.10486519,-0.07741609,0.23200724,208
-2.9744263,-0.80862236,7.5423803,0.41170883,-4.182508,2.0956168,1.4525795,-0.42785645,-1.4039551,-0.097170115,2.1355639,2.7323146,0.2652167,-1.0598775,-1.2995901,0.32554698,0.9932085,-0.5722283,-0.52860975,0.7414856,1.1648989,0.41050625,0.5002773,-0.15271854,-0.5909585,0.47703338,0.5301542,-0.4625764,-0.525666,0.33498144,0.7982571,0.84313774,0.053077042,-0.5591625,-0.19100153,0.11666562,-0.20406961,0.22251642,-0.13663363,-0.8395964,0.07179761,0.5723326,0.18281895,-0.22454035,-0.37280953,-0.33845627,0.17047624,0.2925357,-0.15393925,-0.21897328,-0.3929844,-0.3486848,0.3494087,-0.08496438,-0.40572882,0.10010141,-0.038081646,0.08264333,0.37552816,-0.22321574,-0.57417834,-0.30037463,0.018952489,0.28902858,-208
18.880188,-1.8292389,-15.038866,6.7165327,7.2760916,-2.4924836,-2.7850924,-0.52303314,-0.8249806,0.45193434,0.8002739,1.9645777,1.611327,0.5879676,-0.2990008,0.5211108,2.1046247,0.7785086,0.33277172,0.45407867,1.154953,0.4329543,-0.56319237,-0.03809786,0.07571393,-0.22770715,-0.115588546,0.07245046,-0.48303723,0.28237408,0.64838195,0.4806652,0.18999666,-0.20592856,-0.099420846,0.17175813,-0.023486853,0.31954768,-0.14056516,-1.0003992,0.35913718,0.7519741,-0.22472024,-0.6959708,-0.35129118,-0.08947742,-0.020111427,-0.007864907,-0.4784503,-0.15998566,-0.23166049,-0.4463898,0.30417532,-0.051594034,-0.274871,-0.057887435,0.0041008294,0.20878655,-0.052247018,-0.4448312,-0.22504997,-0.06778562,-0.21486154,0.12030977,-208
55.469177,-2.7485828,-48.286247,15.234851,22.665348,-3.8930058,-12.106152,-5.4555645,3.197377,1.7355671,-2.40066,-1.6726692,3.5929961,4.310782,-0.024478883,-0.45209908,5.3082385,4.6165905,1.7030764,1.8981938,-0.18113995,0.52381754,2.5735745,-0.14718008,-2.9003098,-0.90272665,0.23951197,0.5651343,0.14643943,-0.029877663,1.0134943,0.777092,0.31207076,-0.8497168,0.775568,1.4971898,-0.85566306,-0.038509607,-0.4184947,-0.87743354,0.36816633,0.15259844,-0.1782155,-1.280009,-0.43502975,0.27218866,-0.47875866,-1.0369055,-1.2275842,-0.1884793,-0.19066262,-0.96858084,0.066152096,-0.17629434,-0.46951163,0.31867546,0.20846212,-0.30933276,-0.112579495,-0.10130325,0.21477783,-0.19763601,-1.026102,0.6244599,-208
78.74689,-21.639889,-52.755642,27.869194,5.1237364,-7.9977155,-9.119134,-0.4523487,0.63156056,1.6976933,-3.0788536,-0.49927735,1.092767,-1.6562144,-0.3624692,-0.18351007,4.1029916,1.411694,-1.4533229,-2.1843724,0.33889294,-0.66222286,-1.5194014,1.5421844,-0.8403292,-1.1168227,-0.45676404,1.023013,-0.69854176,-0.1544683,-0.014082909,-0.02868867,-0.10037096,-0.4930538,0.10453504,1.2248306,-0.27264756,0.42768788,0.17427814,-0.090103015,0.8293339,-0.5942269,0.07170266,-0.23523347,0.22477084,0.46314323,-0.19755533,-0.27530926,0.05147183,0.71234715,0.45801485,-0.0018009543,0.4563503,-0.042600304,0.30936903,0.3314898,-0.12636721,-0.20747957,-0.4354368,-0.033228606,0.47908634,-0.0803265,-0.53702635,0.32576212,-215
9.04718,-0.52443504,-5.25618,0.15747929,0.43821335,3.056499,0.20945072,-0.4747553,-0.85717857,-0.46376538,1.1140165,0.9144535,0.4830193,-0.9371569,-1.370092,0.965065,1.8356851,-0.58826363,-1.1860932,0.16366482,0.6677456,0.4448142,0.6683376,0.5413227,0.08131826,0.45278645,-0.24959147,-0.45178473,0.34756482,0.43632865,0.21926832,0.30903673,-0.6265477,-0.8745048,0.59409404,0.6391517,-0.4885131,-0.42037004,0.0033762455,0.31005418,0.1589433,-0.29702258,0.09053463,0.043249995,-0.2981887,-0.08849573,-0.06424382,0.04347591,0.14441586,-0.053792,-0.47401953,-0.42000282,0.2343831,-0.030793235,-0.108172715,-0.08150965,-0.36454237,0.051395655,0.35005337,0.004138196,-0.0056366324,0.030091226,0.10343659,0.23701036,-211
7.1628723,-4.388647,-1.7731743,2.547615,-1.0809727,3.341268,-0.89398575,-0.8334408,-1.1663169,-0.9330176,1.5222445,2.3235507,0.5419228,-1.2168602,-0.9755838,1.0658407,1.4068912,-0.73860586,-1.1994361,0.41742086,1.1193609,0.7418008,0.011136532,-1.0964425,-0.3595221,1.201792,0.2862847,-0.96494806,-0.82421196,0.16856766,0.93979406,0.8681185,-0.41297016,-0.89607894,0.07946825,0.14245032,0.2888738,0.83888113,-0.014340639,-0.68123597,0.0686661,0.2774518,0.25204778,-0.26127338,-0.2713341,-0.13214016,-0.08008492,0.32001063,0.10112417,-0.14917028,-0.49178398,-0.19364613,0.57300335,0.07636377,-0.1609832,-0.033393502,-0.4121402,0.06895596,0.28138137,-0.12613745,-0.567958,-0.19524562,0.270599,0.47207397,-211
17.283173,-5.435255,-9.396048,6.7617826,0.31669807,3.6816826,-0.06284332,-2.359202,-1.9656068,0.910954,3.0836697,1.4667311,-0.024074651,-0.53682804,0.46568397,1.2359414,1.8205839,-0.01772511,-1.1868544,0.28692222,0.93772316,0.43768167,0.6388583,-0.11532855,-0.20913506,0.52334595,0.2430749,-0.30219364,0.018875122,0.48018274,0.58581233,0.8259711,-0.083886474,-0.6866051,0.12569088,0.2491313,-0.31342363,0.15026385,0.09700894,-0.36212435,-0.20126486,-0.06814626,0.09629184,-0.6463752,-0.18591267,0.22953975,-0.305513,-0.31185377,-0.16208851,0.13028258,-0.43419492,-0.28780913,0.38930798,-0.3163252,-0.3261608,-0.048345447,-0.3428572,0.058214426,0.14012527,-0.14402664,-0.45687246,-0.42110825,0.18510014,0.30871043,-208
22.964905,-5.1381683,-16.765656,7.645362,2.9444056,0.96993256,-3.0527658,-3.0298018,1.6840997,2.499958,0.8598089,0.022873878,1.0175465,-1.0820875,-0.60616577,1.4812636,1.8543106,0.37256908,-0.57582164,0.6072688,1.1942048,0.7012043,-0.14957047,0.011241674,-0.028119802,-0.38263297,-0.05918348,0.29895347,-0.37058628,-0.54013383,0.74965024,1.1624148,-0.09342323,-0.53058887,0.50807714,0.16437463,-0.37233907,0.20858282,-0.109163284,-0.2473836,0.2956456,-0.09072164,-0.015537918,-0.35533404,-0.051926494,0.12733376,-0.25653982,-0.18966454,-0.27269578,0.0024273396,-0.6621146,-0.5784241,0.62081,-0.30060434,-0.43174994,0.20048273,-0.048697174,0.27079678,-0.09013718,-0.2008373,0.009005725,-0.34335983,-0.075840294,0.2675669,-211
-9.358246,4.3764324,8.294789,-3.546301,-0.2093134,1.151113,1.1358633,0.075974464,-0.89950216,0.51165867,3.0659628,2.1871448,-0.29487857,-1.2071334,-0.9163656,1.5080905,1.7523609,-0.12213194,-0.3650607,0.496794,0.54909134,0.6291919,1.0700474,-0.26226306,-0.6527544,0.92161655,0.5571401,-0.8291954,-0.47294796,0.2709778,1.0656784,1.1653678,-0.1211123,-0.4000671,0.10226709,-0.36530793,-0.0021050572,0.50396615,-0.25685668,-0.9275287,-0.52464145,0.42550594,0.33508644,-0.47871935,-0.56860423,-0.14724517,0.02890943,0.4497081,-0.052434444,-0.62518406,-0.50659573,-0.13386565,0.48964626,-0.1483651,-0.42904294,-0.064106405,-0.29691422,0.114536524,0.33601952,-0.35664916,-0.61295545,-0.18677276,0.17000407,0.16622636,-211
-6.527588,0.5869751,7.1417074,-0.24877644,-2.177793,2.1605377,1.3476896,-1.0916882,-0.3224672,0.73966074,2.6568727,2.7139935,0.04235293,-1.624385,-0.553218,2.0761437,1.8788141,-0.8875166,-0.7232777,0.8010111,0.20921922,0.38839436,1.2024515,-0.44931102,-0.93870413,0.9215603,0.5179634,-0.680449,-0.45417678,-0.27294374,0.96495295,1.2885201,-0.45607096,-0.76192963,-0.013956964,-0.2070381,0.2507497,0.55082566,-0.48858333,-0.7601505,-0.16430593,0.67336714,0.5450751,-0.4830073,-0.45395565,-0.16797829,-0.040818796,0.3712331,-0.0208925,-0.4992205,-0.65181875,-0.33286488,0.58709097,0.047270194,-0.34918904,-0.013150036,-0.13329533,0.19478613,0.3843121,-0.02007709,-0.43955886,-0.2548076,0.1267364,0.15627822,-211
1.9002075,-1.6073856,2.5014524,2.0959358,-2.4281344,2.95577,1.806716,-0.48047543,-0.43337524,0.5488715,2.2056313,2.5291371,0.49715167,-1.2529742,-0.9055005,0.9688711,1.5267552,-0.12801027,-0.34761667,0.69439554,0.3169124,0.29206705,0.96163464,0.2959733,-0.11235869,0.15845299,0.37874722,-0.106583595,-0.39939952,0.07633072,0.8493917,0.8186221,-0.34259987,-0.58346355,-0.10799533,-0.05098079,0.22784805,0.22771657,-0.083291054,-0.35048625,-0.44957024,0.2389437,0.5479027,-0.6042893,-0.4060712,-0.09935212,-0.068161756,0.2724054,-0.078027606,-0.5257393,-0.74626887,-0.09245682,0.5288983,-0.42498899,-0.5281199,0.16536993,-0.25249124,-0.009629965,0.3855762,-0.0904449,-0.43163645,-0.20126677,0.22216946,0.32601035,-211
